"nama_kabupaten_kota","stasiun_per_kab_kota","stasiun_aktif_per_kab_kota","stasiun_tidak_aktif_per_kab_kota","stasiun_reaktivasi_per_kab_kota","kepadatan_penduduk"
KABUPATEN BANDUNG,10,6,4,,2055
KABUPATEN BANDUNG BARAT,9,8,1,,1364
KABUPATEN BEKASI,5,5,,,2468
KABUPATEN BOGOR,9,9,,,1965
KABUPATEN CIAMIS,3,2,1,,893
KABUPATEN CIANJUR,7,7,,,635
KABUPATEN CIREBON,12,8,4,,2402
KABUPATEN GARUT,12,6,3,3,855
KABUPATEN INDRAMAYU,8,7,1,,924
KABUPATEN KARAWANG,5,5,,,1457
KABUPATEN KUNINGAN,0,,,,1079
KABUPATEN MAJALENGKA,2,,2,,1099
KABUPATEN PANGANDARAN,6,,6,,428
KABUPATEN PURWAKARTA,7,7,,,1213
KABUPATEN SUBANG,7,7,,,843
KABUPATEN SUKABUMI,8,7,1,,653
KABUPATEN SUMEDANG,0,,,,767
KABUPATEN TASIKMALAYA,4,4,,,731
KOTA BANDUNG,7,7,,,15076
KOTA BANJAR,3,3,,,1570
KOTA BEKASI,3,2,1,,11947
KOTA BOGOR,2,2,,,9210
KOTA CIMAHI,1,1,,,14279
KOTA CIREBON,2,2,,,9199
KOTA DEPOK,5,5,,,9453
KOTA SUKABUMI,1,1,,,7329
KOTA TASIKMALAYA,3,3,,,4263
